"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "YAML", "Ignore", "Docker", "TypeScript", "TypeScript React", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-streams.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-sw.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-window.prod.es5.mjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-window.prod.mjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-window.prod.umd.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/autorelease.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 52
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/build-locales-coverage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/build-node.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 41
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/build-version.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 62
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/locales-coverage-description.js", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 174
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/release.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/updateChangelog.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 98
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/scripts/updateReadme.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 28
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionAddToLibrary.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionAlign.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 12, 208
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionCanvas.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 15, 291
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionClipboard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 1, 6, 121
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionDeleteSelected.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 4, 11, 151
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionDistribute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 8, 92
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionDuplicateSelection.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 2, 9, 152
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/src/actions/actionExport.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 12, 262
