Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/main.js                                                                                                | JavaScript         |        395 |        145 |        101 |        641 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/tsconfig.base.json                                                                                     | JSON               |         14 |         15 |          0 |         29 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/tsconfig.json                                                                                          | JSON               |         29 |          0 |          1 |         30 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/tsconfig.monaco.json                                                                                   | JSON               |         23 |          9 |          0 |         32 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/tsconfig.tsec.json                                                                                     | JSON               |         16 |          0 |          1 |         17 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/tsec.exemptions.json                                                                                   | JSON               |         35 |          0 |          1 |         36 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/typings/electron.d.ts                                                                                  | TypeScript         |      5,090 |     10,440 |        521 |     16,051 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/typings/keytar.d.ts                                                                                    | TypeScript         |          7 |         45 |          7 |         59 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/typings/native-keymap.d.ts                                                                             | TypeScript         |         57 |          7 |         12 |         76 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/typings/require.d.ts                                                                                   | TypeScript         |         40 |          7 |         11 |         58 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/typings/thenable.d.ts                                                                                  | TypeScript         |          4 |         16 |          1 |         21 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/browser.ts                                                                             | TypeScript         |         92 |         12 |         19 |        123 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/canIUse.ts                                                                             | TypeScript         |         31 |          9 |          7 |         47 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/vs/base/browser/contextmenu.ts                                                                         | TypeScript         |         28 |          4 |          5 |         37 |
